Numero;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;Estado Civil;Cônjuge;Morada;Código Postal;Localidade;Telemóvel;Telefone;E-mail;Habilitações Literárias;Cartão de cidadão;N.I.S.S
116;Dhavid Alê;9-9-1982;Portuguesa;Carvalhal;Barcelos;Braga;Casado;Malu Jujú;Rua de Carvalhal Nº8;4750;Barcelos;995749028;997655871;Dhavid.Alê@piscinasbarcacellos.pb;Mestrado;28495641;10106356549
117;Wayamy Papa;7-11-1987;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº58;4750;Barcelos;942978667;991510998;Wayamy.Papa@piscinasbarcacellos.pb;Mestrado;41823216;86227363368
118;Juan Xica;13-11-1970;Portuguesa;Cossourado;Barcelos;Braga;Solteiro;;Rua de Cossourado Nº85;4750;Barcelos;999305415;943030768;Juan.Xica@piscinasbarcacellos.pb;Secundário;46234815;56344583959
119;Joliam Bananinha;10-5-1973;Portuguesa;Cristelo;Barcelos;Braga;Casado;Áurea Capela;Rua de Cristelo Nº42;4750;Barcelos;945837750;912967124;Joliam.Bananinha@piscinasbarcacellos.pb;Mestrado;43116579;75977070464
120;Shayana Docinho;13-12-1980;Portuguesa;Fornelos;Barcelos;Braga;Casado;Emanuel Dóia;Rua de Fornelos Nº84;4750;Barcelos;997495829;944499280;Shayana.Docinho@piscinasbarcacellos.pb;Mestrado;11524725;27930601982
121;Vanessa Neto;13-5-1983;Portuguesa;Fragoso;Barcelos;Braga;Solteiro;;Rua de Fragoso Nº8;4750;Barcelos;967481918;987266261;Vanessa.Neto@piscinasbarcacellos.pb;Secundário;22036961;77200592091
122;Hamad Kaká;15-3-1992;Portuguesa;Gilmonde;Barcelos;Braga;Casado;Eiman JP;Rua de Gilmonde Nº18;4750;Barcelos;956657510;952828250;Hamad.Kaká@piscinasbarcacellos.pb;Licenciatura;84774711;59809808837
123;Enrique Teco;25-4-1990;Portuguesa;Lama;Barcelos;Braga;Solteiro;;Rua de Lama Nº36;4750;Barcelos;963205591;910262694;Enrique.Teco@piscinasbarcacellos.pb;Secundário;90072621;69109002365
124;Sejal Careca;9/12/1988;Portuguesa;Lijó;Barcelos;Braga;Casado;Ayhane Maluquinho;Rua de Lijó Nº71;4750;Barcelos;947597281;997554457;Sejal.Careca@piscinasbarcacellos.pb;Licenciatura;79191544;13043937701
125;Délia Riquinho;10-2-1974;Portuguesa;Manhente;Barcelos;Braga;Casado;Aaliyah Loro;Rua de Manhente Nº86;4750;Barcelos;916127931;978729738;Délia.Riquinho@piscinasbarcacellos.pb;Mestrado;20332309;32942804175
126;Madison Tonho;27-11-1986;Portuguesa;Martim;Barcelos;Braga;Solteiro;;Rua de Martim Nº1;4750;Barcelos;969970263;986910683;Madison.Tonho@piscinasbarcacellos.pb;Mestrado;48718355;18978357652
127;Enzo Tozinho;24-6-1973;Portuguesa;Moure;Barcelos;Braga;Solteiro;;Rua de Moure Nº39;4750;Barcelos;965745943;935818204;Enzo.Tozinho@piscinasbarcacellos.pb;Licenciatura;75106459;81435824997
128;Zafar Piu;24-6-1975;Portuguesa;Oliveira;Barcelos;Braga;Solteiro;;Rua de Oliveira Nº13;4750;Barcelos;972819853;972225252;Zafar.Piu@piscinasbarcacellos.pb;Licenciatura;71302444;24310912937
129;Márcia Quil;23-12-1994;Portuguesa;Palme;Barcelos;Braga;Solteiro;;Rua de Palme Nº52;4750;Barcelos;937785289;939341193;Márcia.Quil@piscinasbarcacellos.pb;Licenciatura;10302282;12397145995
130;Wayamy Ratinho;22-3-1977;Portuguesa;Panque;Barcelos;Braga;Casado;Ivana Boy;Rua de Panque Nº78;4750;Barcelos;921653046;940412713;Wayamy.Ratinho@piscinasbarcacellos.pb;Secundário;68032472;36284588178
131;Aayan Biu;2-1-1985;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº23;4750;Barcelos;920099308;986296253;Aayan.Biu@piscinasbarcacellos.pb;Secundário;19918591;65801178058
132;Jayden Jacaré;18-2-1973;Portuguesa;Pereira;Barcelos;Braga;Solteiro;;Rua de Pereira Nº65;4750;Barcelos;928381670;971158082;Jayden.Jacaré@piscinasbarcacellos.pb;Secundário;24753254;11474622400
133;Cheng Lio;21-9-1978;Portuguesa;Perelhal;Barcelos;Braga;Casado;Caelan Losa;Rua de Perelhal Nº72;4750;Barcelos;929458003;984653153;Cheng.Lio@piscinasbarcacellos.pb;Mestrado;69169424;74036558084
134;Kimi Doquinha;12-5-1977;Portuguesa;Pousa;Barcelos;Braga;Solteiro;;Rua de Pousa Nº63;4750;Barcelos;961911542;935797243;Kimi.Doquinha@piscinasbarcacellos.pb;Licenciatura;40047685;12126859474
135;Daniel Branca;28-10-1972;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº15;4750;Barcelos;912095916;958180962;Daniel.Branca@piscinasbarcacellos.pb;Mestrado;25079067;25913136395
136;Luiza Leléo;12-10-1990;Portuguesa;Carvalhal;Barcelos;Braga;Solteiro;;Rua de Carvalhal Nº25;4750;Barcelos;952253562;983372166;Luiza.Leléo@piscinasbarcacellos.pb;Licenciatura;21329103;64416643252
137;Melisa Vic;20-8-1991;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº94;4750;Barcelos;933964198;970410391;Melisa.Vic@piscinasbarcacellos.pb;Licenciatura;67224421;94943624077
13x;Ericson Bar;3-1-1975;Portuguesa;Cossourado;Barcelos;Braga;Solteiro;;Rua de Cossourado Nº7;4750;Barcelos;997787355;934704499;Ericson.Bar@piscinasbarcacellos.pb;Licenciatura;56044785;52983599844
139;Nour Teco;5-10-1982;Portuguesa;Cristelo;Barcelos;Braga;Solteiro;;Rua de Cristelo Nº93;4750;Barcelos;916779052;947320110;Nour.Teco@piscinasbarcacellos.pb;Secundário;31135708;16750588876
140;N'Nasta Lobão;19-11-1985;Portuguesa;Fornelos;Barcelos;Braga;Casado;Yuran Belinha;Rua de Fornelos Nº55;4750;Barcelos;993175339;963018670;N'Nasta.Lobão@piscinasbarcacellos.pb;Mestrado;84130820;29466740595
141;Ícaro Capela;6-5-1981;Portuguesa;Fragoso;Barcelos;Braga;Solteiro;;Rua de Fragoso Nº49;4750;Barcelos;989008463;979881708;Ícaro.Capela@piscinasbarcacellos.pb;Secundário;57713674;61337193003
142;Nidhi Chiquinha;17-6-1985;Portuguesa;Gilmonde;Barcelos;Braga;Casado;Almerinda Pépe;Rua de Gilmonde Nº8;4750;Barcelos;916911251;942079668;Nidhi.Chiquinha@piscinasbarcacellos.pb;Licenciatura;59449006;71169007622
143;Chelse Jamanta;16-4-1976;Portuguesa;Lama;Barcelos;Braga;Casado;Josiel Pingo;Rua de Lama Nº4;4750;Barcelos;912969883;958297206;Chelse.Jamanta@piscinasbarcacellos.pb;Mestrado;76193751;11625855949
144;Ábda Chibinha;23-1-1996;Portuguesa;Lijó;Barcelos;Braga;Casado;Kawame Duda;Rua de Lijó Nº87;4750;Braga;933265325;930033389;Ábda.Chibinha@piscinasbarcacellos.pb;Secundário;17185829;16364976198
145;Skylar Neto;27-10-1992;Portuguesa;Manhente;Barcelos;Braga;Solteiro;;Rua de Manhente Nº12;4750;Barcelos;951838473;940022182;Skylar.Neto@piscinasbarcacellos.pb;Secundário;19567745;88395618183
146;Denil Juca;27-6-1991;Portuguesa;Martim;Barcelos;Braga;Casado;Ali Fofa;Rua de Martim Nº29;4750;Barcelos;953556368;929399752;Denil.Juca@piscinasbarcacellos.pb;Mestrado;56097640;91744784900
147;Cheng Gúh;12-12-1997;Portuguesa;Moure;Barcelos;Braga;Casado;Jivreet Geno;Rua de Moure Nº8;4750;Barcelos;921233394;989186399;Cheng.Gúh@piscinasbarcacellos.pb;Licenciatura;37578753;82844100441
148;Dillon Quél;18-11-1992;Portuguesa;Oliveira;Barcelos;Braga;Casado;Nair Tita;Rua de Oliveira Nº31;4750;Barcelos;940066765;947419985;Dillon.Quél@piscinasbarcacellos.pb;Mestrado;66170671;99474217581
149;Henrique Quil;16-6-1986;Portuguesa;Palme;Barcelos;Braga;Casado;Cherry Vavá;Rua de Palme Nº65;4750;Barcelos;964890685;932032100;Henrique.Quil@piscinasbarcacellos.pb;Secundário;20477506;30440086605
150;Anaís Tonton;11-8-1992;Portuguesa;Panque;Barcelos;Braga;Casado;Aram Benta;Rua de Panque Nº74;4750;Barcelos;987025346;957937881;Anaís.Tonton@piscinasbarcacellos.pb;Mestrado;25342078;71756492814
151;Juli Maninho;5-4-2000;Portuguesa;Paradela;Barcelos;Braga;Casado;Michele Tatinha;Rua de Paradela Nº77;4750;Barcelos;975883240;945546516;Juli.Maninho@piscinasbarcacellos.pb;Secundário;60699456;77347165863
152;Hala Beto;22-4-1992;Portuguesa;Pereira;Barcelos;Braga;Casado;Pregua Beta;Rua de Pereira Nº24;4750;Barcelos;953533549;919571537;Hala.Beto@piscinasbarcacellos.pb;Mestrado;38935044;91275748715
153;Josué Furinha;14-12-1970;Portuguesa;Aborim;Barcelos;Braga;Solteiro;;Rua de Aborim Nº83;4750;Barcelos;937044437;974690058;Josué.Furinha@piscinasbarcacellos.pb;Secundário;27269161;80638272315
154;Tamára Belo;17-9-1989;Portuguesa;Adães;Barcelos;Braga;Casado;Jack Loro;Rua de Adães Nº17;4750;Barcelos;962810506;910178166;Tamára.Belo@piscinasbarcacellos.pb;Secundário;45716142;36646197634
155;Ieva Nôh;18-11-1992;Portuguesa;Airó;Barcelos;Braga;Casado;Andres Bob;Rua de Airó Nº74;4750;Barcelos;942783828;962320264;Ieva.Nôh@piscinasbarcacellos.pb;Licenciatura;10599278;62829179305
156;Brandon Docinho;8-10-1988;Portuguesa;Aldreu;Barcelos;Braga;Solteiro;;Rua de Aldreu Nº75;4750;Barcelos;919522249;971939872;Brandon.Docinho@piscinasbarcacellos.pb;Licenciatura;62408927;61534133361
157;Tayanni Mascote;15-2-1991;Portuguesa;Alvelos;Barcelos;Braga;Casado;Alcilane Guta;Rua de Alvelos Nº47;4750;Barcelos;935770437;943665018;Tayanni.Mascote@piscinasbarcacellos.pb;Mestrado;66437432;48412604375
158;Lyra Tita;28-3-1975;Portuguesa;Arcozelo;Barcelos;Braga;Solteiro;;Rua de Arcozelo Nº17;4750;Barcelos;927124677;914037306;Lyra.Tita@piscinasbarcacellos.pb;Mestrado;62944347;11276825863
159;Aliyah Binho;8-11-1971;Portuguesa;Balugães;Barcelos;Braga;Casado;Alison Cebolinha;Rua de Balugães Nº50;4750;Barcelos;918171719;910505360;Aliyah.Binho@piscinasbarcacellos.pb;Mestrado;85675058;99584492190
160;Luan Peleco;28-4-1975;Portuguesa;Barcelinhos;Barcelos;Braga;Solteiro;;Rua de Barcelinhos Nº28;4750;Barcelos;938381117;962642047;Luan.Peleco@piscinasbarcacellos.pb;Licenciatura;19597708;69891546415
161;Elson Melão;21/3/1981;Portuguesa;Barqueiros;Barcelos;Braga;Casado;Dinica Ratinho;Rua de Barqueiros Nº83;4750;Barcelos;937432509;911642754;Elson.Melão@piscinasbarcacellos.pb;Mestrado;29949767;25464256162
162;Arian Bola;4-11-1991;Portuguesa;Cambeses;Barcelos;Braga;Solteiro;;Rua de Cambeses Nº20;4750;Barcelos;956758519;966554830;Arian.Bola@piscinasbarcacellos.pb;Licenciatura;27639776;73302428369
163;Noah Tina;17-12-1994;Portuguesa;Carapeços;Barcelos;Braga;Casado;Oriel Chiquinha;Rua de Carapeços Nº19;4750;Barcelos;987643070;953228666;Noah.Tina@piscinasbarcacellos.pb;Secundário;51273949;55066823492
164;Elisa Duda;17-12-1970;Portuguesa;Fraião;Barcelos;Braga;Solteiro;;Rua de Carvalhal Nº76;4750;Barcelos;959076933;987851844;Elisa.Duda@piscinasbarcacellos.pb;Mestrado;52650324;42711520289
165;Lais Bina;8-12-1985;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº33;4750;Barcelos;960466568;967965723;Lais.Bina@piscinasbarcacellos.pb;Secundário;87869911;76952227437
166;Ersílio Preto;22-6-1975;Portuguesa;Cossourado;Barcelos;Braga;Solteiro;;Rua de Cossourado Nº54;4750;Barcelos;968295236;948823590;Ersílio.Preto@piscinasbarcacellos.pb;Secundário;19351435;45026370951
167;Harkirat Fofão;13-12-1982;Portuguesa;Cristelo;Barcelos;Braga;Casado;Vida Sol;Rua de Cristelo Nº16;4750;Barcelos;936640447;979489150;Harkirat.Fofão@piscinasbarcacellos.pb;Licenciatura;10601336;18369236998
168;Jasleen Quél;25-1-1984;Portuguesa;Fornelos;Barcelos;Braga;Casado;Cael Neguinho;Rua de Fornelos Nº35;4750;Barcelos;947386985;988912321;Jasleen.Quél@piscinasbarcacellos.pb;Licenciatura;73167756;83843003801
169;Liliia Macarrão;8-5-1992;Portuguesa;Fragoso;Barcelos;Braga;Casado;Valdemar Pipo;Rua de Fragoso Nº97;4750;Barcelos;986057689;962507115;Liliia.Macarrão@piscinasbarcacellos.pb;Mestrado;24709195;74799989619
170;Ivânia Pica-Pau;7-7-1972;Portuguesa;Gilmonde;Barcelos;Braga;Solteiro;;Rua de Gilmonde Nº64;4750;Barcelos;949383726;959359366;Ivânia.Pica-Pau@piscinasbarcacellos.pb;Mestrado;26541622;66761932636
171;Gael Galego;26-2-1984;Portuguesa;Lama;Barcelos;Braga;Casado;Maia Fred;Rua de Lama Nº69;4750;Barcelos;947208088;929186098;Gael.Galego@piscinasbarcacellos.pb;Licenciatura;71690902;35483044151
172;Shanzay Jamanta;12-12-1971;Portuguesa;Lijó;Barcelos;Braga;Solteiro;;Rua de Lijó Nº67;4750;Barcelos;963292055;928036557;Shanzay.Jamanta@piscinasbarcacellos.pb;Mestrado;78850713;42296616402
173;Deep Pipo;19-9-1972;Portuguesa;Manhente;Barcelos;Braga;Casado;Libânia Quita;Rua de Manhente Nº82;4750;Barcelos;940834024;986602930;Deep.Pipo@piscinasbarcacellos.pb;Secundário;65850557;36882283735
174;Rivan Pezão;24-10-1986;Portuguesa;Martim;Barcelos;Braga;Casado;Iana Bad;Rua de Martim Nº20;4750;Barcelos;992761247;992193056;Rivan.Pezão@piscinasbarcacellos.pb;Licenciatura;21710795;39375256893
175;Dália Tatinha;1-5-1988;Portuguesa;Moure;Barcelos;Braga;Solteiro;;Rua de Moure Nº88;4750;Barcelos;924890486;986841789;Dália.Tatinha@piscinasbarcacellos.pb;Mestrado;41062176;65275051919
176;Madeha Léo;5-7-1991;Portuguesa;Oliveira;Barcelos;Braga;Solteiro;;Rua de Oliveira Nº22;4750;Barcelos;912114924;982426363;Madeha.Léo@piscinasbarcacellos.pb;Licenciatura;32885464;15983318964
177;Adriane Gui;21-4-1980;Portuguesa;Palme;Barcelos;Braga;Casado;Melina Furinha;Rua de Palme Nº4;4750;Barcelos;925454219;942652186;Adriane.Gui@piscinasbarcacellos.pb;Secundário;74383948;28401052394
178;Mathilde Bél;1-9-1998;Portuguesa;Panque;Barcelos;Braga;Casado;Lucca Grilo;Rua de Panque Nº5;4750;Barcelos;934423712;950997376;Mathilde.Bél@piscinasbarcacellos.pb;Licenciatura;19177126;69318308181
179;Esmeralda Duduzinho;15-12-1992;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº92;4750;Barcelos;920929933;920143676;Esmeralda.Duduzinho@piscinasbarcacellos.pb;Licenciatura;94239194;72246005929
180;Ewa Drica;27-11-1993;Portuguesa;Pereira;Barcelos;Braga;Solteiro;;Rua de Pereira Nº91;4750;Barcelos;945471165;987686290;Ewa.Drica@piscinasbarcacellos.pb;Licenciatura;40668711;84138256649
181;Malik Lilico;8-6-1976;Portuguesa;Perelhal;Barcelos;Braga;Casado;Theo Tozinho;Rua de Perelhal Nº23;4750;Barcelos;959569822;928681073;Malik.Lilico@piscinasbarcacellos.pb;Mestrado;76478920;46518946916
182;Rosana Dinho;1-8-1998;Portuguesa;Pousa;Barcelos;Braga;Casado;Hyrningur Cebolinha;Rua de Pousa Nº65;4750;Barcelos;984796328;995479627;Rosana.Dinho@piscinasbarcacellos.pb;Secundário;92377598;19216171226
183;Laurent Geno;19-11-1986;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº63;4750;Barcelos;997838082;977110488;Laurent.Geno@piscinasbarcacellos.pb;Mestrado;52872863;37543875641
184;Benjamín Verinha;4-8-1987;Portuguesa;Carvalhal;Barcelos;Braga;Solteiro;;Rua de Carvalhal Nº61;4750;Barcelos;949027258;948515001;Benjamín.Verinha@piscinasbarcacellos.pb;Secundário;63126599;89790671503
185;Leví Tampinha;3-4-1989;Portuguesa;Carvalhas;Barcelos;Braga;Casado;Kenzo Anjinha;Rua de Carvalhas Nº76;4750;Barcelos;994645539;968688690;Leví.Tampinha@piscinasbarcacellos.pb;Secundário;74112691;91075833713
186;Jason Vavá;21-2-1986;Portuguesa;Cossourado;Barcelos;Braga;Solteiro;;Rua de Cossourado Nº69;4750;Barcelos;977564807;924582406;Jason.Vavá@piscinasbarcacellos.pb;Secundário;19875003;59040311491
187;Mélyssa Tonho;3-4-1983;Portuguesa;Cristelo;Barcelos;Braga;Solteiro;;Rua de Cristelo Nº22;4750;Barcelos;971976523;949898169;Mélyssa.Tonho@piscinasbarcacellos.pb;Mestrado;66629833;64004472555
188;Kaleb Flor;22-2-1985;Portuguesa;Fornelos;Barcelos;Braga;Solteiro;;Rua de Fornelos Nº60;4750;Barcelos;972944863;965577202;Kaleb.Flor@piscinasbarcacellos.pb;Mestrado;81060122;55000479194
189;Aynoah Ganso;7-1-1971;Portuguesa;Fragoso;Barcelos;Braga;Casado;Juliano Huck;Rua de Fragoso Nº93;4750;Barcelos;963439630;926838192;Aynoah.Ganso@piscinasbarcacellos.pb;Mestrado;67179288;43560444701
190;Zalia Quinho;11-2-1985;Portuguesa;Gilmonde;Barcelos;Braga;Solteiro;;Rua de Gilmonde Nº91;4750;Barcelos;954710509;917374458;Zalia.Quinho@piscinasbarcacellos.pb;Mestrado;36882157;51556790557
191;Jerónimo Pipoca;27-5-1974;Portuguesa;Lama;Barcelos;Braga;Casado;Délia Neto;Rua de Lama Nº13;4750;Barcelos;958858312;983134118;Jerónimo.Pipoca@piscinasbarcacellos.pb;Licenciatura;57810069;47529093265
192;Saico Pezão;3-5-1973;Portuguesa;Lijó;Barcelos;Braga;Casado;Afonsina Duda;Rua de Lijó Nº93;4750;Barcelos;936482088;980702006;Saico.Pezão@piscinasbarcacellos.pb;Secundário;91480779;71510691425
193;Franziska Mosca;4-2-2000;Portuguesa;Manhente;Barcelos;Braga;Solteiro;;Rua de Manhente Nº70;4750;Barcelos;982978917;997044813;Franziska.Mosca@piscinasbarcacellos.pb;Mestrado;85850496;25926551874
194;Ayla Tonton;24-4-1977;Portuguesa;Martim;Barcelos;Braga;Solteiro;;Rua de Martim Nº50;4750;Barcelos;912311447;957466067;Ayla.Tonton@piscinasbarcacellos.pb;Licenciatura;21627728;25186889650
195;Petra Maninho;15-7-1998;Portuguesa;Moure;Barcelos;Braga;Solteiro;;Rua de Moure Nº22;4750;Barcelos;936409236;913869345;Petra.Maninho@piscinasbarcacellos.pb;Secundário;65631265;53483649933
196;Júlio Ninha;17-9-1999;Portuguesa;Oliveira;Barcelos;Braga;Casado;Evelina Cacau;Rua de Oliveira Nº72;4750;Barcelos;972023142;979311510;Júlio.Ninha@piscinasbarcacellos.pb;Licenciatura;56185047;23160135012
197;Petru Tulio;18-10-1972;Portuguesa;Palme;Barcelos;Braga;Solteiro;;Rua de Palme Nº52;4750;Barcelos;949241755;971536498;Petru.Tulio@piscinasbarcacellos.pb;Mestrado;52512082;18563204844
198;Yafei Dadá;3-5-1972;Portuguesa;Panque;Barcelos;Braga;Solteiro;;Rua de Panque Nº46;4750;Barcelos;961710389;932889856;Yafei.Dadá@piscinasbarcacellos.pb;Licenciatura;86724973;34291751541
199;Bebiana Vivi;20/2/1997;Portuguesa;Aborim;Barcelos;Braga;Solteiro;;Rua de Aborim Nº24;4750;Barcelos;935442481;964166776;Bebiana.Vivi@piscinasbarcacellos.pb;Mestrado;45825629;25970320926
200;Daiana Pepê;15-9-1998;Portuguesa;Adães;Barcelos;Braga;Casado;Kelton Capela;Rua de Adães Nº47;4750;Barcelos;930241097;965472325;Daiana.Pepê@piscinasbarcacellos.pb;Secundário;96881393;60368433832
201;Yanni Dóia;8-4-1996;Portuguesa;Airó;Barcelos;Braga;Casado;Isadora Duca;Rua de Airó Nº44;4750;Barcelos;986382234;992652990;Yanni.Dóia@piscinasbarcacellos.pb;Mestrado;55410253;94072261855
202;Nair Dinho;5-12-1974;Portuguesa;Aldreu;Barcelos;Braga;Casado;Sahibdeep Fafá;Rua de Aldreu Nº5;4750;Barcelos;919945801;946858343;Nair.Dinho@piscinasbarcacellos.pb;Mestrado;28746229;91377174163
203;Daniely Quil;23-3-1989;Portuguesa;Alvelos;Barcelos;Braga;Casado;Jaciara Jota;Rua de Alvelos Nº75;4750;Barcelos;943174169;911681796;Daniely.Quil@piscinasbarcacellos.pb;Secundário;24576536;63609576250
204;Laércia Pretinho;22-2-1983;Portuguesa;Arcozelo;Barcelos;Braga;Casado;Mushtaribonu Gordo;Rua de Arcozelo Nº100;4750;Barcelos;944113678;940908709;Laércia.Pretinho@piscinasbarcacellos.pb;Secundário;39511030;71482579629
205;Alessandro Preto;9-5-1971;Portuguesa;Balugães;Barcelos;Braga;Casado;Betânia Guri;Rua de Balugães Nº43;4750;Barcelos;947065056;986396633;Alessandro.Preto@piscinasbarcacellos.pb;Secundário;25176307;96413632891
206;Yanxi Dedé;21-7-1989;Portuguesa;Barcelinhos;Barcelos;Braga;Solteiro;;Rua de Barcelinhos Nº37;4750;Barcelos;927701935;990878146;Yanxi.Dedé@piscinasbarcacellos.pb;Mestrado;61949020;49229884869
207;Yafei Nininho;4-9-1974;Portuguesa;Barqueiros;Barcelos;Braga;Casado;Dolores Beto;Rua de Barqueiros Nº61;4750;Barcelos;952973371;919703306;Yafei.Nininho@piscinasbarcacellos.pb;Secundário;43411116;20292678923
208;Clayton Bél;9-2-1970;Portuguesa;Cambeses;Barcelos;Braga;Solteiro;;Rua de Cambeses Nº11;4750;Barcelos;928084522;941321662;Clayton.Bél@piscinasbarcacellos.pb;Licenciatura;64578955;32801096133
209;Namaaha Dudú;14-11-1989;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº90;4750;Barcelos;921433538;920622418;Namaaha.Dudú@piscinasbarcacellos.pb;Secundário;19439807;44946097313
210;Hélcia Jiló;24-6-1973;Portuguesa;Carvalhal;Barcelos;Braga;Solteiro;;Rua de Carvalhal Nº27;4750;Barcelos;910721811;924852762;Hélcia.Jiló@piscinasbarcacellos.pb;Mestrado;72745939;58659963242
211;Guido Guri;13-8-1989;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº44;4750;Barcelos;946414194;946818844;Guido.Guri@piscinasbarcacellos.pb;Licenciatura;34252454;21489842621
212;Ieva Tica;20-3-1978;Portuguesa;Cossourado;Barcelos;Braga;Casado;Mila Riquinho;Rua de Cossourado Nº81;4750;Barcelos;952349286;939864711;Ieva.Tica@piscinasbarcacellos.pb;Secundário;41996118;66953823037
213;Simão Láu;22-10-1982;Portuguesa;Cristelo;Barcelos;Braga;Casado;Andy Tonton;Rua de Cristelo Nº66;4750;Barcelos;979155106;940171928;Simão.Láu@piscinasbarcacellos.pb;Licenciatura;42818459;62714607122
214;Júlio Gui;27-12-1978;Portuguesa;Fornelos;Barcelos;Braga;Solteiro;;Rua de Fornelos Nº27;4750;Barcelos;986718631;921480505;Júlio.Gui@piscinasbarcacellos.pb;Licenciatura;19479291;24348342181
215;Ezekiel Bananinha;16-8-1978;Portuguesa;Fragoso;Barcelos;Braga;Casado;Jingxuan Véi;Rua de Fragoso Nº7;4750;Barcelos;973398354;986266145;Ezekiel.Bananinha@piscinasbarcacellos.pb;Mestrado;83000192;61617807455
216;Tayna Lio;10-1-1990;Portuguesa;Gilmonde;Barcelos;Braga;Solteiro;;Rua de Gilmonde Nº64;4750;Barcelos;994360204;917835193;Tayna.Lio@piscinasbarcacellos.pb;Secundário;32931526;69068186123
217;Sadiya Painho;17-11-2000;Portuguesa;Lama;Barcelos;Braga;Solteiro;;Rua de Lama Nº94;4750;Barcelos;969144389;980942910;Sadiya.Painho@piscinasbarcacellos.pb;Licenciatura;32118729;93474208048
218;Ion Tatá;14-7-1988;Portuguesa;Lijó;Barcelos;Braga;Casado;Houssainatou Benta;Rua de Lijó Nº14;4750;Barcelos;929319546;926147432;Ion.Tatá@piscinasbarcacellos.pb;Secundário;90721865;56686957781
219;Khaleesi Belo;19-1-1983;Portuguesa;Manhente;Barcelos;Braga;Casado;Lyah Mila-milu;Rua de Manhente Nº94;4750;Barcelos;978633957;951090508;Khaleesi.Belo@piscinasbarcacellos.pb;Licenciatura;31956507;10664615538
220;Kyomara Flor;27-1-1975;Portuguesa;Martim;Barcelos;Braga;Casado;Andrea Pipo;Rua de Martim Nº98;4750;Barcelos;955681437;922208963;Kyomara.Flor@piscinasbarcacellos.pb;Licenciatura;31121493;52580263502
221;Yelissa Lilico;1-7-2000;Portuguesa;Moure;Barcelos;Braga;Solteiro;;Rua de Moure Nº15;4750;Barcelos;968285199;942057509;Yelissa.Lilico@piscinasbarcacellos.pb;Secundário;98697942;65034817118
222;Julieth Pica-Pau;4-12-1980;Portuguesa;Oliveira;Barcelos;Braga;Solteiro;;Rua de Oliveira Nº64;4750;Barcelos;983631215;915402593;Julieth.Pica-Pau@piscinasbarcacellos.pb;Licenciatura;70669327;66229655833
223;Melany Rob;11-1-1975;Portuguesa;Palme;Barcelos;Braga;Casado;Lorenza Láu;Rua de Palme Nº65;4750;Barcelos;994854507;981112029;Melany.Rob@piscinasbarcacellos.pb;Mestrado;54027596;92554992787
224;Yussuf Léo;11-5-2000;Portuguesa;Panque;Barcelos;Braga;Solteiro;Joana Garcia;Rua de Panque Nº57;4750;Barcelos;998893612;947826631;Yussuf.Léo@piscinasbarcacellos.pb;Secundário;52757359;57562411712
225;Rajanbir Filó;5-11-1997;Portuguesa;Paradela;Barcelos;Braga;Casado;Romario Ninha;Rua de Paradela Nº61;4750;Barcelos;992617087;958709766;Rajanbir.Filó@piscinasbarcacellos.pb;Mestrado;98315473;78672413288
226;Petro Beto;4-10-1986;Portuguesa;Pereira;Barcelos;Braga;Casado;Khiiara Boneco;Rua de Pereira Nº17;4750;Barcelos;945900228;914583473;Petro.Beto@piscinasbarcacellos.pb;Licenciatura;35365922;80361106377
227;Dien Guri;11-10-1983;Portuguesa;Perelhal;Barcelos;Braga;Casado;Kiluanji Pépe;Rua de Perelhal Nº23;4750;Barcelos;953522548;950055726;Dien.Guri@piscinasbarcacellos.pb;Mestrado;45098096;62526265141
228;Tércio Biau;8-4-2000;Portuguesa;Pousa;Barcelos;Braga;Solteiro;;Rua de Pousa Nº44;4750;Barcelos;929388595;993241239;Tércio.Biau@piscinasbarcacellos.pb;Mestrado;66582743;44881443786
229;Silke Zézinho;3-4-1981;Portuguesa;Fragoso;Barcelos;Braga;Solteiro;;Rua de Fragoso Nº28;4750;Barcelos;910900584;975730991;Silke.Zézinho@piscinasbarcacellos.pb;Secundário;99679089;56632908227
230;Russell Edinho;20-6-1990;Portuguesa;Gilmonde;Barcelos;Braga;Solteiro;;Rua de Gilmonde Nº44;4750;Barcelos;940264907;979128517;Russell.Edinho@piscinasbarcacellos.pb;Mestrado;37303591;87987143744
231;Magalie Jacaré;24-3-1987;Portuguesa;Lama;Barcelos;Braga;Casado;Gelila Ritinha;Rua de Lama Nº23;4750;Barcelos;965825689;932292603;Magalie.Jacaré@piscinasbarcacellos.pb;Secundário;90753357;15244943064
